barbell back squat to box,https://www.bodybuilding.com/exercises/box-squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72e-barbell-back-squat-to-box-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
clean and jerk,https://www.bodybuilding.com/exercises/clean-and-jerk,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26b-clean-and-jerk-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/shoulders,shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
single-arm kettlebell push-press,https://www.bodybuilding.com/exercises/one-arm-kettlebell-push-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m2-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m3-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/shoulders,shoulders,https://www.bodybuilding.com/exercises/equipment/kettlebells,kettlebells
push-press,https://www.bodybuilding.com/exercises/push-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-39b-push-press-m2-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
suspended ab fall-out,https://www.bodybuilding.com/exercises/suspended-fallout,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-158s-suspended-ab-fall-out-m2-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/abdominals,abdominals,https://www.bodybuilding.com/exercises/equipment/other,other
military press,https://www.bodybuilding.com/exercises/standing-military-press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,shoulders,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
power snatch-,https://www.bodybuilding.com/exercises/snatch,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
sumo deadlift,https://www.bodybuilding.com/exercises/sumo-deadlift,,,https://www.bodybuilding.com/exercises/muscle/hamstrings,hamstrings,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
hang clean,https://www.bodybuilding.com/exercises/hang-clean,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,quadriceps,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
dumbbell v-sit cross jab,https://www.bodybuilding.com/exercises/dumbbell-v-sit-cross-jab,,,https://www.bodybuilding.com/exercises/muscle/abdominals,abdominals,https://www.bodybuilding.com/exercises/equipment/dumbbell,dumbbell
reverse band box squat,https://www.bodybuilding.com/exercises/reverse-band-box-squat,https://www.bodybuilding.com/exercises/exerciseImages/sequences/753/Male/m/753_2.jpg,,https://www.bodybuilding.com/exercises/muscle/quadriceps,quadriceps,https://www.bodybuilding.com/exercises/finder,barbell
standing palms-in shoulder press,https://www.bodybuilding.com/exercises/standing-palms-in-dumbbell-press,,,https://www.bodybuilding.com/exercises/muscle/shoulders,shoulders,https://www.bodybuilding.com/exercises/equipment/dumbbell,dumbbell
standing cable low-to-high twist,https://www.bodybuilding.com/exercises/standing-cable-lift,,,https://www.bodybuilding.com/exercises/muscle/abdominals,abdominals,https://www.bodybuilding.com/exercises/equipment/cable,cable
decline ez-bar skullcrusher,https://www.bodybuilding.com/exercises/decline-ez-bar-triceps-extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m1-square-600x600.jpg,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m2-square-600x600.jpg,https://www.bodybuilding.com/exercises/muscle/triceps,triceps,https://www.bodybuilding.com/exercises/equipment/ez-curl-bar,e-z curl bar
standing behind-the-back wrist curl,https://www.bodybuilding.com/exercises/standing-palms-up-barbell-behind-the-back-wrist-curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14b-standing-behind-the-back-wrist-curl-m1-square-600x600.jpg,,https://www.bodybuilding.com/exercises/muscle/forearms,forearms,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
seated finger curl,https://www.bodybuilding.com/exercises/finger-curls,,,https://www.bodybuilding.com/exercises/muscle/forearms,forearms,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
wide-grip barbell curl,https://www.bodybuilding.com/exercises/wide-grip-standing-barbell-curl,,,https://www.bodybuilding.com/exercises/muscle/biceps,biceps,https://www.bodybuilding.com/exercises/equipment/barbell,barbell
dumbbell spell caster,https://www.bodybuilding.com/exercises/spell-caster,,,https://www.bodybuilding.com/exercises/muscle/abdominals,abdominals,https://www.bodybuilding.com/exercises/equipment/dumbbell,dumbbell
dumbbell floor press,https://www.bodybuilding.com/exercises/dumbbell-floor-press,,,https://www.bodybuilding.com/exercises/muscle/triceps,triceps,https://www.bodybuilding.com/exercises/equipment/dumbbell,dumbbell
lying face down plate neck resistance,https://www.bodybuilding.com/exercises/lying-face-down-plate-neck-resistance,,,https://www.bodybuilding.com/exercises/muscle/neck,neck,https://www.bodybuilding.com/exercises/equipment/other,other
pullups,https://www.bodybuilding.com/exercises/pullups,,,https://www.bodybuilding.com/exercises/muscle/lats,lats,https://www.bodybuilding.com/exercises/equipment/body-only,body only
decline reverse crunch,https://www.bodybuilding.com/exercises/decline-reverse-crunch,,,https://www.bodybuilding.com/exercises/muscle/abdominals,abdominals,https://www.bodybuilding.com/exercises/equipment/other,other
dumbbell bench press,https://www.bodybuilding.com/exercises/dumbbell-bench-press,,,https://www.bodybuilding.com/exercises/muscle/chest,chest,https://www.bodybuilding.com/exercises/equipment/dumbbell,dumbbell
jumping rope,https://www.bodybuilding.com/exercises/rope-jumping,,,https://www.bodybuilding.com/exercises/muscle/quadriceps,quadriceps,https://www.bodybuilding.com/exercises/equipment/body-only,body only
